,loss,accuracy,val_loss,val_accuracy
0,0.7902786135673523,0.755299985408783,0.3388729989528656,0.9078999757766724
1,0.28842976689338684,0.923966646194458,0.24579782783985138,0.9394000172615051
2,0.2577861249446869,0.9375333189964294,0.23306845128536224,0.9448000192642212
3,0.24037182331085205,0.9445000290870667,0.22122207283973694,0.9469000101089478
4,0.24389541149139404,0.9464499950408936,0.23239029943943024,0.9480999708175659
5,0.24391883611679077,0.9489166736602783,0.21781156957149506,0.9534000158309937
6,0.24235542118549347,0.9510999917984009,0.20347073674201965,0.9559000134468079
7,0.24057500064373016,0.9520000219345093,0.22518940269947052,0.9520000219345093
8,0.24346989393234253,0.9531333446502686,0.20693649351596832,0.9593999981880188
9,0.24576203525066376,0.9537000060081482,0.2137150764465332,0.9573000073432922
10,0.24508604407310486,0.9543666839599609,0.22163529694080353,0.9575999975204468
11,0.2570926249027252,0.9545833468437195,0.22025352716445923,0.9606999754905701
12,0.2610437572002411,0.9534833431243896,0.2305845022201538,0.958299994468689
13,0.2713840901851654,0.9538833498954773,0.2550966143608093,0.9574999809265137
14,0.27630555629730225,0.9539499878883362,0.23577439785003662,0.9596999883651733
