,loss,accuracy,val_loss,val_accuracy
0,0.5900265574455261,0.8131166696548462,0.11207148432731628,0.9659000039100647
1,0.1070127785205841,0.966949999332428,0.0677749365568161,0.9779000282287598
2,0.07358856499195099,0.9767333269119263,0.05577850341796875,0.9825000166893005
3,0.2062099725008011,0.9404500126838684,0.08633878082036972,0.9714999794960022
4,0.07775696367025375,0.9756333231925964,0.05200905725359917,0.9840999841690063
5,0.05733539164066315,0.9818000197410583,0.05018343776464462,0.984000027179718
6,0.04816208779811859,0.9849333167076111,0.04344635456800461,0.9855999946594238
7,0.04085889458656311,0.9871833324432373,0.03878488019108772,0.9886999726295471
8,0.03683161735534668,0.9881333112716675,0.036599960178136826,0.9878000020980835
9,0.03265128284692764,0.9897666573524475,0.04156990721821785,0.9868000149726868
10,0.02985815703868866,0.9904999732971191,0.03417807072401047,0.9891999959945679
11,0.027438409626483917,0.9913833141326904,0.04005740210413933,0.9871000051498413
12,0.02597529999911785,0.9915833473205566,0.0330076664686203,0.9890000224113464
13,0.0242458563297987,0.9921166896820068,0.03332516923546791,0.9896000027656555
14,0.022033730521798134,0.9934166669845581,0.03176712617278099,0.9901999831199646
